answer,clue
ZESTS,Twists of lemon or lime
ZESTY,Piquant
ZETA,Actress Catherine ___-Jones
ZETAS,Greek characters
ZEUS,God who hurls lightning bolts
ZEVON,"Warren with the 1978 platinum album ""Excitable Boy"""
ZHOU,First premier of the People's Republic of China
ZIA,Tribe whose sun symbol is on the New Mexico flag
ZIG,Make a sharp turn
ZIGS,Makes an unexpected move
ZILCH,Bubkes
ZIMA,Bygone alcopop
ZIN,Chard or cab alternative
ZINC,Like some plating
ZINCS,Anti-rust coatings
ZINE,Fan mag
ZINES,Fan mags
ZING,Get but good
ZINGS,Insults wittily
ZINGY,Sharply piquant
ZION,Jewish homeland
ZIONS,"___ Camp, historic Mormon expedition led by Joseph Smith"
ZIP,___ drive
ZIPIT,"""Shut your trap!"""
ZIPPO,Nada
ZIPPY,Full of oomph
ZIPS,"Postal aids, for short"
ZIPUP,Take care of a fly
ZIT,"Small blemish, in slang"
ZITI,Tubular pasta
ZITS,Jerry Scott/Jim Borgman teen comic strip
ZLOTY,Foreign-exchange listing
ZOA,Animal group suffix
ZOD,"General ___ (""Superman"" villain)"
ZOE,Playwright Akins
ZOES,Stage actress Caldwell and others
ZOG,"Planet visited by Spaceman Spiff in ""Calvin and Hobbes"""
ZOIC,Suffix on era names
ZOLA,"""The Dram Shop"" author"
ZONAL,Like certain transportation pricing
ZONE,Area
ZONED,Like most urban land
ZONER,"One fighting urban sprawl, say"
ZONES,The tropics and others
ZONK,"Fall dead asleep, with ""out"""
ZONKS,"Crashes, with ""out"""
ZOO,It may allow petting
ZOOEY,Salinger title character
ZOOL,Veterinarian's branch of sci.
ZOOM,Modern camera feature
ZOOMS,Speeds
ZOOS,Arboretums : trees :: ___ : animals
ZOOT,Kind of suit worn by a 21-Down
ZORA,Novelist ___ Neale Hurston
ZORBA,Anthony Quinn title role
ZORN,N.F.L. coach Jim
ZORRO,Two-time Banderas role
ZOT,"""B.C."" sound effect"
ZOWIE,"""Holy cow!"""
ZSA,Eva's half sister?
ZTILE,"""10"" is inscribed on it"
ZUBIN,Conductor Mehta
ZULU,"Buthelezi, for one"
ZULUS,"Z's, in code"
ZUMBA,Dance-based fitness program
ZUNI,Southwest tribe or river
ZUNIS,Southwest natives
ZWEI,What's needed for a Teutonic tango
ZWEIG,"Stefan ___, influential Austrian writer of the 1920s-'30s"
ZYNGA,Owner of Words With Friends
ZZTOP,"Rock group that sang ""Tush"""
ZZZ,Snoring sound
LIMOS,Frequent airport sights
ELAM,Ancient Khuzistan
OUS,Suffix with hazard
GENL,"Lee, e.g.: Abbr."
NINO,Young muchacho
DSCS,Mil. decorations
MENDS,Darns
AM A,"""I ____ Rock"" (1966 hit)"
INAPT,A little off
ALEC,British P.M. _____ Douglas-Home
SST,"Retired barrier breaker, for short"
ACHE,Dull pain
DIKES,Retainers
PADDY,Rice ___
AVID,Devoted
BUT,"""That ... can't be ..."""
AQUA,Greenish-blue
REICH,"First, Second or Third state"
SAD A,"Thompson of TV's ""Family"""
SHEEP,Followers
RAMBO,Fanatically militant sort
SMITE,"Whack, biblically"
ASS,Balaam's rebuker
SIEVE,One working out the lumps?
ELIAS,Sewing machine inventor Howe
JOB,Monster.com posting
IPSA,"Itself, in a Latin phrase"
BARE,Lead-in to bones or knuckles
HAVEN,Word after New or tax
MOC,"Slip-on shoe, briefly"
VOTED,Said yea or nay
STOL,Adaptable aircraft
TKO,"Bout outcome, in brief"
OCALA,Sunshine State city
ERE,Lead-in for long
FLORA,Botanist's specialty
GENIE,"""Your wish is my command"" speaker"
A CDC,Like some outlets
PUSSY,Kind of footing
EDIT,Microsoft Word option
ARTY,Warholian
LUCAS,"""Star Wars"" director"
SATAY,Food on a stick
EELS,Some nonkosher fish
SEAM,Use a Singer
SPARE,"""___ me!"""
IPO,"Dot-commer's dream, for short"
STOCK,Bones may be found in it
BURR,Gore Vidal biographical novel
STAN,Lee or Musial
SIGN,An auction bidder might give a high one
LCDS,"Some monitors, for short"
ENID,City near Vance Air Force Base
EBON,"Black, to a bard"
IT AS,"""Take ___ a sign"""
BEG,Command to Rover
LAYER,Parfait feature
STOOD,"Was on a crowded bus, say"
IQS,Figs. clustered around 100
USC,Pac 10 team
NOPE,"""Ain't happening"""
HERO,Knight in shining armor
ASTA,Nick and Nora's dog
YUP,"""You betcha"""
SAW,Prop for a classic magician's trick
A XL,___ Rose
IOS,Apple apps use it
RAMS,Trans World Dome team
SPOIL,Indulge
EMEER,Eastern prince
DENS,Scouting groups
COCA,Caesar's partner
EVITA,Winner of seven Tonys in 1980
MARE,Old gray animal?
FRANC,"Garcon's tip, maybe"
NASA,Mars Pathfinder launcher
AMP,Bit of sound equipment
URN,Party server
OWE,"""To what do I ___..."""
TOW,Service station offering
ADDED,Over-and-above
PAGE,Leaf unit
DIETZ,___ & Watson (big name in deli meat)
ENDOW,"Provide, as with funds"
UNO,Spanish article
LEI,___ Day (May 1)
ASU,Sch. with a Phoenix campus
REEL,Bit of fishing gear
ROBE,At-home cover-up
TEXAS,Waco locale
ARS,They're rolled in Mexico
SIPS,Tastes
EON,It keeps going and going ...
RATER,"Judge, at times"
SAG,Lose tone
HABIT,Usually black garb
RAI,BBC's Italian counterpart
JEN,See 78-Down
CROCS,Gators' kin
RAH,"When repeated, gung-ho"
SCH,It often starts in Sept.
NEAT,Litter-free
ARCS,Bridges of electricity
DRABS,Olive ___
BEAK,Kite part
ADHOC,Having a single purpose
NINE,*Start of a 38-Across
KIWI,New Zealand bird
DELE,Strike mark
STEAM,Really tick off
TALL,"With 32-Across, whopper"
MEAD,"Drink in ""Beowulf"""
OMANI,Resident of Muscat
OBOES,Instruments used in orchestra tuning
SIFT,Sort through
GEORG,Ohm of Ohm's law
OTOE,Oklahoma tribe
SUDSY,Like dishwater
HEM,Fashion line?
TOE,Darn site
OMAR,First name in Persian poetry
PATE,Brie alternative
WYNNS,Comedian Ed and others
AZT,Drug marketed as Retrovir
OASIS,Break ground?
KUM,"""___ Ba Yah"" (campfire song)"
KRAG,1800's U.S. Army rifle
TAMPA,"Cigar City, so-called on account of a former major industry"
RIATA,Looped calf-catcher
INURE,Harden (to)
NAH,"""Huh-uh"""
REBA,Midianite leader of the Old Testament
HERS,His mate
DICE,Rolling stock?
SOUP,"Extra horsepower, slangily"
OLE,Seville cheer
WB A,Pugilists' grp.
OIL,Olive product
ALIAS,Anonym
MENU,A small one helps the indecisive
SWE,Eur. country with a king
NEIL,"Man's name meaning ""champion"""
TILT,Sports contest
LAW,Post-graduate pursuit
RRS,B&O and Reading: Abbr.
LINUS,"""Peanuts"" boy with a blanket"
TEMP,"Short-term worker, for short"
DDS,Expert in calculus: Abbr.
ATTN,Ltr. recipient pinpointer
ACED,More than passed
HOKE,Nonsense
SCANT,In limited supply
AGENT,Rep
ADOBE,Clay brick
TUNE,Whistler's production
OSCAR,"Code word for ""O"""
EGGO,Toaster waffle
BUNNY,"Bugs, e.g."
NAPA,Valley of vintners
HALF,"24 minutes, maybe"
TAM,Piper topper
ERN,Relative of a harrier
MEAN,Intend
SASH,"Band for a ""Miss"""
PRYOR,Comedian Richard
HELGA,"Hägar's wife, in the comics"
VAPID,Uninspired
HEAR,"Sense, as a 14-Across"
CAB,Fleet member
DAN,Blocker of TV
EMBAR,Put in jail
HEB,Lang. from which 8- and 24-Down come
OAKS,Many wine barrels come from them
JADE,Green shade
NAPE,Where a ducktail tapers
SPODE,Some porcelain
REP,Word on the street
STAR,One receiving top billing
RICE,Serving with sushi
MYNAH,Speech mimicker
KNELT,Kowtowed
NERVE,Steadfastness
WOMEN,"With 34-Down, some league members"
SLOB,Sty resident
OLEO,Muffin stuffin'?
NO HO,Neighborhood west of the Bowery
ANS,Follow-up to a ques.
AARP,Org. promoting Social Security solvency
OWS,They may follow bee stings
WILD,"Uncombed, say"
ORS,"Surgery sites, briefly"
ODDS,10:1 or 3:2 at a racetrack
YESES,Toadies' responses
CU ER,Prompt giver
CLYDE,Half of a famous outlaw duo
HIT,Box score notation
STORM,Kind of warning
TEX,Bugs Bunny cartoonist ___ Avery
TIRES,Sonatas have four of them
METRO,Underground
RASTA,Dreads sporter
SACS,Ink containers for squids
METS,"___-Willets Point (subway station in Queens, N.Y.)"
JEDI,___ Knight
ANGRY,Wroth
SHOJI,Japanese room divider
SUNNI,World's largest religious denomination
TSE,Canadian financial market inits.
EAST,"Atlantic Coast states, with ""the"""
ROSIE,W.W. II poster girl
SEDAN,Auto suggestion?
CLEON,Political rival of Pericles
NOLTE,People's Sexiest Man Alive after Swayze
CAVA,"Anatomical term that's Latin for ""hollow"""
FIAT,Turin-based automaker
NET,Tightrope walker's need
TO GA,Outfit in Caesar's senate
MAZE,Hampton Court feature
MARAT,"Corday's victim, 1793"
RESH,Letter before shin
IRA,"Retirement kitty, for short"
DYNE,Measure of force
BOISE,City of Trees
BAP,Protestant denom.
MUTT,No Westminster contender
TIGER,Clemson player
ALS,Zany comic Ritz and others
LOSS,See 34-Across
TOPIC,What debaters debate
ALERT,Notify of danger
POOL,Lifeguard's watch
SOLES,Producers of scuff marks
EMS,Type widths
IDLE,No longer working
OYL,Cartoondom's Olive ___
GO TO,Common command in Basic programming
BALK,Penalized move in baseball
DODI,Film producer ___ Al-Fayed
NEALE,'60 Wimbledon champ _____ Fraser
MCJOB,Low-level position
CAMPS,Summer getaways
GOD,Soul searcher?
MIROS,"""Blue II"" and ""Red Sun,"" e.g."
SOSA,He was traded between Chicago teams in 1992
AREA,Section
GLEN,Campbell of country
HYDE,"Fictional ""Mr."""
MEND,Tape or patch
GLOOM,Shadows
TETES,French noggins
WIFI,Boingo service at airports
ALDA,See 58-Across
DELLS,Some PCs
ELF,Will Ferrell title role
EDGES,A sphere lacks them
MAMMA,Bambino's first word
AZO,Kind of compound in chemistry
TAD,Little 'un
AT NO,___ cost
FOR,"Debate position against ""against"""
APAIR,It beats nothing
ADULT,"R-rated, say"
MAIA,One of the Pleiades
GI A,1970s-'80s supermodel Carangi
EROS,First asteroid orbited by a NASA spacecraft
RISK,Insurer's focus
STS,Holy ones: Abbr.
LEAD,Sleuth's quest
WAIF,Urchin
COCO,Chanel of perfume fame
YEARN,Feel wistful
DIAZ,Mexican dictator Porfirio
BARN,Shade of red
STEWS,"Nurses old grudges, say"
LOEWE,"""The Little Prince"" composer"
OPAL,Gem for some Libras
ISR,1967 war participant: Abbr.
OPERA,Where to hear a 14-Across
EXITS,Outlets
TKT,Conductor's request: Abbr.
FLAG,Tire
SS RS,"Ukr., Est. and Lith., once"
IRONS,Cattle branding tools
BIZ,"Line of work, slangily"
EAR,Part of a jug
SONIC,Anthropomorphic hedgehog of gamedom
LIBS,Left-wingers
CADRE,Skilled force
TICS,Little jerks
DRU,R & B band ___ Hill
ITS,"1986 hit ""_____ Only Love"""
ZINC,Major Peruvian export
RAD,"""Groovy,"" updated"
SIRS,Knights in shining armor
OER,Poetic contraction
DIOR,Gucci contemporary
ERA,Span of history
SENOR,Title for Wences
GROAN,Complain
PAZ,"La ___, Bolivia"
ICE,It may be cracked or packed
BASEL,City where Erasmus taught
CAN,One in a six-pack
APE,Go ___
NERO,Agrippina's son
LEA,Place to pasture
SAY,"""For instance ..."""
UFO,X-File subject
GAO,Fed. auditing agency
OWLET,Miniature hooter
EVA,Stowe heroine
ETC,"And more, briefly"
NEER,Do-well intro
SOON,In a mo
HASTE,"Waste maker, proverbially"
IN IT,Signature part: Abbr.
OKS,Checks off on
GENE,Target of splicing
LOUD,Musical forte?
DAB,Pat gently
A GTS,Many authors have them: Abbr.
SOHO,It's near Piccadilly
JER,"Rocker Garcia, informally"
TIE,"1-1 score, e.g."
TUMOR,Protuberance
ESSES,Letters before Titanic
EARS,All ___
SHEAF,Bound collection
ROLL,Photog's purchase
EXPAT,"Hemingway, notably"
PUNTA,"___ Arenas, port in 93-Down"
DIVA,Temperamental sort
GYPSY,Broadway dancer
KERR,Actress Deborah
UNIE,"Together, in Toulouse"
THOSE,Them there
PURSE,Boxer's prize
STOPS,Points along a bus route
LIU,Imprisoned Peace Nobelist ___ Xiaobo
ORD,Former fort on Monterey Bay
PIECE,"Gun, slangily"
NEON,Vegas gas
ACORN,Squirrel's snack
LYSED,"Disintegrated, as cells"
BED,Mattress's place
RUTS,Furrows
TONY,"""West Side Story"" fellow"
ELSA,Mrs. Einstein
SHAWL,Knitted wrap
LEN,"""The Ipcress File"" author Deighton"
SIDE,See 1-Across
COMBS,Barbershop items
OCT,Campaign crunch time: Abbr.
WOKS,Chinese cookers
NORA,"Nick's wife in ""The Thin Man"""
TSP,1/192 qt.
RIG,Fix the outcome
SPA,Masseuse's workplace
DOTS,Pixels and such
ROVE,Travel far and wide
CYS,Songwriter Coleman et al.
BUS,Greyhound runner?
PELE,Forward who wore #10
BIGGS,"""American Pie"" actor Jason"
SKOAL,"""Here's to you!"""
SHE,"""___ Drives Me Crazy"" (1989 #1 hit)"
DUD,Bad firecracker
PSI,"What Indiana University's superimposed ""I"" and ""U"" looks like"
TEND,Be disposed (to)
FERRO,Prefix in some alloy names
RANGE,Cooktop
TK TS,Times Square sign
HAST,"""___ thou eaten of the tree?"": Genesis"
TILE,Square in a steam room
RIOS,Guadalquivir and others
SEPIA,Brown tone
BOA,Feathery fashion accessory
FEUD,Hatfield/McCoy affair
TIP,Thank you for waiting
ERASE,Get out of the line?
GNARL,Tree knot
LATE,Delayed
PEST,"With 65-Across, extermination ... or what can be done to 10 answers in this puzzle without affecting their clues?"
OVAL,Planetary path
MOB,Criminal set
AGUA,It's wet in Juárez
AM AT,Foreign trio member?
LINEN,Hope chest contents
VSO,Letters on a brandy bottle
ORE,Danish coin
AUDEN,Frost contemporary
ACRE,"One of the ""north 40"""
SHARD,Fragment
SLEET,Miserable weather
NADIA,Composer Boulanger
SKUAS,Flying predators of cold seas
DARTS,Game with rings
NRA,Pistol-packing org.
VOTE,Yea or nay
PLUS,___ sizes
TEMPE,Fiesta Bowl site
AMANA,Washer/dryer brand
GOODE,"""Johnny B. ___"""
MEGA,"""Big"" prefix"
PFC,U.S.M.C. rank
NBC,Jimmy Fallon's network
I ON,It can have pluses or minuses
DEER,Silhouette on many a yellow sign
VICI,Part of a boast
CAR,"Jaguar, e.g."
ASCII,Computer text can be written in this
BAIT,Tempt
DIG,Criticism
CAREW,Hall-of-Famer Rod
SMELL,Bloodhound's sense
ESP,"Psychic's purported ability, for short"
MAST,A crow's-nest tops it
ET ES,"24-Down, in Dijon"
EERY,Unnerving: Var.
NUB,Heart
RISEN,Resurrected
HUT,Simple shelter
APTS,Many N.Y.C. residences
TEETH,Saw things
JEWEL,Solitaire
ROLLS,"Status symbol car, familiarly"
DEI,Philadelphia's historic Gloria ___ Church
TRE,I ___ Tenori
OPES,"Unlocks, in verse"
ERNIE,Late Ford
KRIS,TV angel Munroe
THREE,Number of strikes in a turkey
SMOOT,___-Hawley Tariff Act of 1930
ASPS,"""Raiders of the Lost Ark"" creatures"
TAB,It's left on a keyboard
ADLAI,Old politico Stevenson
NOAH,2014 biblical title role for Russell Crowe
FEAR,Shake in one's boots
DST,Summer clocks are set to it: Abbr.
PTA,Org. concerned with pupils
OLEA,"Olive, to Ovid"
A RUT,In___ (stagnant)
EYES,They can be crossed
HANDS,What card dealers deal
LIB,Ad follower
BRIE,Imported French wheel?
WINES,"Blushes, say"
NEAPS,Certain tides
TAT,Make 50-Across
ART,"""But is it ___?"""
SAVES,Takes into account?
EXES,Divorcés
SNIPS,Scissors sounds
INC A,Terrace farming pioneers
GIVEN,"First, as a name"
NOTE,Quaver or semiquaver
MOOS,Stockyard sounds
AID A,Slave entombed with Radames
DRIP,Plumbing problem
SWIG,Gulp down
SSN,Fig. in the form XXX-XX-XXXX
BUSTS,Goes over 21 at the casino
HAIRY,Like the Wolfman
ALIVE,Registering a pulse
NATO,Montenegro joined it in 2017
LIE,Be less than candid
LEO,Zodiac constellation
KLM,Choice for people who go Dutch?
BAR,Where Orvieto can be found
GUTSY,Daring
LOBE,Bottom of a 40-Down
ROAM,Traipse
ERIE,Losing tribe in the Beaver Wars
BIBS,Lobster eaters' needs
LOC,_____ cit. (footnote abbr.)
PITY,Shame
A BCD,Opening run
UNJAM,"Fix, as a photocopier"
ALECS,Waugh and others
ALONE,Admiral Byrd book
COVE,Sheltered nook
SLAB,Big piece of cake
KYOTO,Climate-change protocol city
SHAY,Old-fashioned conveyance
FINE,"""O.K. by me"""
TAO,Philosophical ideal
TERSE,Hardly wandering
CIVIL,Kind of service
PISA,City with a noted tower
ENDS,Doesn't carry on
APPLY,Put in one's name (for)
ALIEN,Flying saucer flier
SPEC,Small detail?
INTRO,Foreword
POLAR,From the extreme north and south of the earth
RAW,In its natural state
WEARY,Bone-tired
ESE,Suffix with Milan
SLIP,It's bad when it's pink
KAKA,One-named Brazilian soccer star in the 2008 Time 100
RABID,"Very enthusiastic, as a fan"
SABU,"""Elephant Boy"" actor"
READ,Make out
LAC,Varnish base
ROPES,"Buntlines, e.g."
MOURN,Express grief
A ROD,"Nickname in which ""A"" stands for Alex"
AN AT,Course akin to Physiol.
ON A,"With 36-Across, losing"
ROMAN,"Like the numerals I, V, X and L"
ACC,Blue Devils' org.
MIRA,Star in Cetus
GALEN,Classical name in medicine
ODES,Lofty lines
GRETA,Reclusive Garbo
FAT,Rotund
ZEROS,Goose eggs
SOAK,Relaxing bath
AIMER,One with an objective
EMMYS,Daytime ___
LAPEL,Hands-free microphone's place
ETO,Verdun was in it once: Abbr.
UP IN,Go ___ smoke
ARMS,Makeshift cradle
DRS,Many profs
CODED,Like many wartime messages
SAPID,Flavorful
MRT,Chain-sporting star
ROUX,Soup thickener
APP,"Smartphone download, briefly"
GUTTA,Architectural drop
SWEPT,"Clean, as a floor"
TOWER,Radio station facility
ARID,Like the middle of Australia
IDES,Day on old calendars
BAH,"""Harrumph!"""
PROXY,Representative
AS IS,Sale tag phrase
ILLS,Evils
EMERY,Abrasive
TAROT,"Place to see a hanged man, e.g."
OUSTS,Evicts
YIPE,"""Oh no!"""
STEP,Stair part
PETAL,Float decoration
ICEL,Nordic land: Abbr.
END,Judgment Day
ELLA,Miss Cinders of early comics
MARCO,"___ Polo, traveler at the court of Kublai Khan"
TE SH,"""Sax on the Beach"" musician John"
GABS,Goes on and on
BROIL,Not be just warm
OUTS,"Publicizes, in a way"
KLEE,Swiss Surrealist
SALSA,Flashy dance
SRS,H.S. students getting ready for college
PUTTY,Caulking material
A DE,Suffix with cannon or block
IDEA,Genesis of an invention
ROOF,"Gambrel, for one"
ACYL,Chemistry radical
RON,Friend of Harry and Hermione
RENEE,"Bridget's portrayer in ""Bridget Jones's Diary"""
SHOD,Like racehorses' feet
LEADY,Dull
ORGY,Wild time
AM IS,"Author of ""Time's Arrow,"" 1991, a novel written in reverse chronological order"
DROOL,Dribble
BOLD,Willing to take risks
ALOHA,Sunny farewell
ALE,Taproom order
WALES,Charles's princedom
SLOE,Spiny shrub
LASE,Shoot a light gun
AIGHT,"""Sounds good,"" in informal pronunciation"
EXCEL,Shine
RUFUS,"___ T. Firefly, Groucho's role in ""Duck Soup"""
HIPPO,"""Fantasia"" dancer"
GIN,Card game with knocking
ROT,Cheap booze
PAWNS,Puppets
DOME,Fuller construction
SIBS,"Estate sharers, often"
VEGAN,Meat avoider
ASKED,"""Since you _____..."""
BEAMS,A-frame supports
HARE,Chinese calendar animal
DPI,Meas. of screen resolution
ADAM,A Cartwright
COBS,Corny throwaways
AHAB,"Fictional character who says ""I now prophesy that I will dismember my dismemberer"""
LODGE,Get stuck
SSE,Seattle-to-L.A. dir.
CRISP,Like new notes
SOOT,Stack buildup
SLAY,Rub out
ETUI,It gets notions
EDS,Marinaro and others
SIOUX,Dakota Indians
SOFAS,"Love seats, e.g."
DEERE,Seeder name
SLOG,Interminable task
TET,Vietnam War's ___ offensive
MIST,Blurrer
MACE,Airborne defense?
PYRE,Funeral fire
STEW,"77-Down, for one"
BAYOU,Marshy inlet
OWLS,They fly by night
DIET,One may cheat on it
TRIS,Speaker in major-league baseball history
ACT I,Musical opening
PERIL,Scylla or Charybdis
CENSE,Use a thurible
RIVET,Jeans reinforcer
KORAN,"Arabic for ""book"""
ETON,Royal's school
DEAF,See 73-Across
TASS,Cold war news service
REV,"Flock leader, for short"
SKIN,"Injure, as the knee"
OAF,Fool
STY,Muddy enclosure
GATE,Event proceeds
AS TO,"Regarding, in a memo"
BLIP,Tiny percentage in the polls
THE A,"Ellington's ""Take ___ Train"""
ASTI,Barbera d'___ (Italian wine)
SPRY,Surprisingly agile for one's age
DAMPS,Deadens
KEGS,Purchases for a shindig
SMEAR,Eyeliner problem
REAR,Kind of guard or end
CITY,Half of an E.P.A. rating
LORE,Stories like Washington chopping down the cherry tree
ICONS,Images
SSS,1960's-70's draft org.
EDU,Brown. follower
WOES,Sob story subjects
GIT,Dogpatch yell
OPS,"Missions, for short"
NOVA,Bright star
ILIAD,"It starts ""Sing, goddess, the wrath of Peleus' son..."""
SUED,"Wouldn't settle, say"
CRAG,Projecting rock
ADS,Some Web site features
YOGI,Bear or Berra
CASE,What a sleuth tries to close
DEL,Atl. coast state
ARIA,Bartoli performance
AGORA,Site of the Temple of Hephaestus
CEN,"1900-99, e.g.: Abbr."
ABBIE,Hoffman who once backed a pig for president
MINDS,Obeys
PRIDE,One of 7-Down
BOSE,Big name in headphones
LILA,Lee of silent films
LIGHT,Hardly serious
UTE,Tribe after which the 45th state is named
ROSAS,Some Spanish flowers
IMF,Subj. of many antiglobalization protests
EIEIO,"Follower of ducks, sheep or pigs"
BLT,Lunch counter order
RANK,Stinky
BAYS,Howls at the moon
MACAW,Cockatoo cousin
LOIS,"With 85-Down, old DC Comics spinoff"
EL IS,Ancient Olympics site
OREOS,They can be crushed for a pie crust
KNEE,Slapping site
HARTE,Gold rush storyteller
MR ED,Talking TV palomino
AC IS,"Handel's ""_____ and Galatea"""
SNO,___ Mountain (Pennsylvania ski resort)
HORNS,They frequently become locked
OPUS,Numbered composition
SNOB,Stuck-up sort
SEZ,"""___ me, that's who!"""
RIFE,Abounding
OATH,Courtroom affirmation
SORES,Dermatology topics
EASE,Effortlessness
LABEL,File folder stick-on
ALFA,"Italian auto, briefly"
ISLA,Tierra en el agua
AMIE,"Lady friend, in Lille"
ETD,Airport info: Abbr.
SCAB,Healing cover
QBS,N.F.L. hurlers
SANER,More rational
FELT,Sharpie tip material
CENTS,Word on coins
RITZ,Scallop-edged cracker
GREAT,Super
A IL,Not be well
IRAN,Tehran's home
NADIR,It's the pits
IVE,"""___ said it before ..."""
VPS,No. 2's
SEMIS,18-wheelers
DR IQ,Popular 1940's radio quiz show
SS NS,W-9 fields: Abbr.
AMPED,Jazzed
TORI,"Inner tubes, e.g."
MOORE,Connery's successor as Bond
SIC A,Director Vittorio De ___
LEVEE,Bank security feature?
SORT,Collate
ETTA,"James who was nominated for a 1967 Grammy for ""Tell Mama"""
AOL,NetZero competitor
TGIF,End-of-workweek cry
ONE,Common lunch time
MANN,"""The Magic Mountain"" novelist Thomas"
BASED,Rooted
EVADE,"Escape, as detection"
URALS,Mount Narodnaya's locale
AVON,Popular theater name
MAV,"Reunion Arena player, briefly"
LISP,"Say ""thay,"" e.g."
AT IT,Toiling away
ONION,It may bring a tear to your eye
SLO,Cautionary sign
MAORI,"Aucklander, maybe"
WEEP,Cry
REB,Yankee's foe
ER TE,Originator of cutout dresses
SUFI,Religious mystic
FADE,What some things do in the sun
ARP,"Dada ""daddy"""
NOEL,"""Silent Night"" or ""Away in a Manger"""
RE GO,"___ Park, Queens"
CLARE,County north of the river Shannon
ROTOS,Old paper parts
AGNEW,Only U.S. vice president born in Maryland
MAR,Harm
OFF,Not quite right
ADA,Tooth doctor's org.
I BEG,"""_____ your pardon!"""
ALVA,Middle name at Menlo Park
OPEL,"""Wir leben Autos"" sloganeer"
SPITZ,Pointy-eared dog
SCALD,"Spill coffee on, maybe"
IMBUE,"Permeate, as with dye"
IBM,Apple foe
RATS,"""Fudge!"""
DAME,"Edith Evans, for one"
LEGIT,Go on foot
A NO,Four seasons in Seville
MLK,Annual honoree's inits.
SERIF,Feature lacked by Helvetica type
PLED,"Made, as a case"
CLIVE,"The ""C"" in C.S. Lewis"
NISEI,American of Japanese origin
RE UP,Extend one's service life
SONY,Vaio manufacturer
ASSAY,Analysis
GET,"""_____a life!"""
ISH,Sorta: Suffix
PET,Dearest
AF BS,Edwards and others: Abbr.
GODS,Dwellers on Mount Olympus
ZEES,Cartoonist's indicator of nodding
ON CD,Modern way to put out an album
GOBI,Desert in 6 Across
GASP,[I'm shocked! Shocked!]
RESIN,Sticky stuff
LEER,Sly look
LEVI,"Benjamin Harrison's vice president, ___ P. Morton"
LASSO,It may be thrown from a horse
ARC,Kind of light
EIRE,U2's homeland
MAGI,New Testament gift bearers
TYSON,Perdue rival
OLEG,Mr. Cassini
AHOY,Chips ___! (cookies)
AXED,"Got rid of, in a way"
ACCT,Depositor's holding: Abbr.
EARP,"Marshal played by Fonda, Costner and Lancaster"
BONN,Bygone European capital
I GET,"Beach Boys' ""____ Around"""
DUDE,Fella
INTL,"The ""I"" in IHOP: Abbr."
ANDES,Bolivian range
OWES,Isn't in the clear?
ANNA,"Woman in ""The King and I"""
RICK,"""Here's looking at you, kid"" speaker"
EARLY,Baseball's Wynn
I BE,"""How can ___ sure?"""
GEM,Tiara component
IN A,Any port ___ storm
HMOS,Medical care grps.
ARISE,Stem (from)
OWL,Friend of Pooh
LOOP,Aerial stunt
AWOL,"Object of a hunt, maybe"
RELIC,Museum artifact
ASH,Shade of gray
SULU,George Takei TV and film role
ROAD,Word with block or test
EDITS,Text tweaks
ARMED,Packing a piece
LARKS,Old Studebakers
ALTAR,Union site
RHEE,Former South Korean president Syngman ___
TEA,It may be high in the afternoon
GERMS,Common phobia source
SEE,Take in
ESS,"..., to Samuel Morse"
PLATE,Home feature
LCD,Digital watch part: Abbr.
ECON,Business school subj.
NAT,Revolutionist Turner
SAS,Northern flier
SCOTT,"""Waverley"" novelist"
MONO,Like the earliest Beatles recordings
ONT,Where Windsor is: Abbr.
MO AS,Extinct New Zealanders
ZAG,Move after a zig
TABU,"Brand advertised as ""the forbidden fragrance"""
PTSD,"Condition once called ""shell shock,"" for short"
OC HO,Cuatro + cuatro
CAPES,Mantles
ODE,"Schoenberg's ""___ to Napoleon"""
YECCH,"""Ugh!"""
ELY,"Seat of White Pine County, Nev."
REC,"Fun, for short"
EGO,"""Me, me, me"" attitude"
VETS,Checks for accuracy
STEAL,At least it's a real bargain
VE RE,"""Billy Budd"" captain"
HER A,Jealous wife of myth
SCARE,Heart-pounding episode
IRON,Monopoly game token
WARES,Merchandise
IKE,"Reverend ___, onetime radio evangelist"
WOVE,Spun
I GOT,"""___ Plenty o' Nuttin'"""
ENTRY,Contestant's mail-in
DUCAT,Bit of old gold
HIGH,Like some seas and teas
RITA,"""Lovely ___"" (Beatles song)"
OHIO,Allegheny + Monongahela
ELKO,Nevada's second-largest county
PESTO,Sauce for linguine
SEQ,Et ___ (and the following): Abbr.
BAGEL,Toast alternative
LOGO,"Stylized U.S. flag, often"
NEE,Word before a maiden name in wedding announcements
SNARE,"Sting, in a way"
A RPS,Some Dada prints
ECRU,Lingerie shade
RORY,Cowboy actor Calhoun
UNI,College abroad
NT WT,Abbr. on a cereal box
MARGE,"""Little Lulu"" cartoonist"
ROD,"Gun, in slang"
GAMMA,Kind of radiation
DRUBS,Easily outscores
ACE,It isn't returned
CAP,"Restrict, in a way"
SLUE,Turn on a pivot
BERG,Ice block
TURN,Chance to play in a game
ACING,Flying through
SEAS,Cruise ship Empress of the ___
FIR,Center of holiday decorations
BRA,It can leave a tan line
SNL,"The Coneheads' show, for short"
I SEE,"""So it is"""
OVID,"J. M. W. Turner's ""___ Banished From Rome"""
